item_id,item_name,sku,opening_stock,quantity_in,quantity_out,closing_stock,purchase_account_name,sku
2968232000000087969,Boys Shoes Boys 3.5,BOY-SHO-3.5,5.00,1.00,0.00,6.00,Cost of Goods Sold,BOY-SHO-3.5
2968232000000087980,Boys Shoes Boys 4,BOY-SHO-4,23.00,6.00,0.00,29.00,Cost of Goods Sold,BOY-SHO-4
2968232000000087991,Boys Shoes Boys 4.5,BOY-SHO-4.5,13.00,1.00,1.00,13.00,Cost of Goods Sold,BOY-SHO-4.5
2968232000000088002,Boys Shoes Boys 5,BOY-SHO-5,7.00,4.00,2.00,9.00,Cost of Goods Sold,BOY-SHO-5
2968232000000088013,Boys Shoes Boys 5.5,BOY-SHO-5.5,9.00,0.00,1.00,8.00,Cost of Goods Sold,BOY-SHO-5.5
2968232000000088024,Boys Shoes Boys 6,BOY-SHO-6,21.00,4.00,4.00,21.00,Cost of Goods Sold,BOY-SHO-6
2968232000000088035,Boys Shoes Boys 6.5,BOY-SHO-6.5,20.00,2.00,3.00,19.00,Cost of Goods Sold,BOY-SHO-6.5
2968232000000088046,Boys Shoes Boys 7,BOY-SHO-7,-1.00,4.00,2.00,1.00,Cost of Goods Sold,BOY-SHO-7
2968232000000088057,Boys Shoes Boys 7.5,BOY-SHO-7.5,0.00,1.00,1.00,0.00,Cost of Goods Sold,BOY-SHO-7.5
2968232000000088068,Boys Socks Infant 1,BOY-SOC-INF1,-21.00,0.00,0.00,-21.00,Cost of Goods Sold,BOY-SOC-INF1
2968232000000088090,Boys Socks Infant 3,BOY-SOC-INF3,-16.00,0.00,0.00,-16.00,Cost of Goods Sold,BOY-SOC-INF3
2968232000000088112,Boys Socks Toddler 5,BOY-SOC-TOD05,-6.00,0.00,0.00,-6.00,Cost of Goods Sold,BOY-SOC-TOD05
2968232000000088123,Boys Socks Toddler 5.5,BOY-SOC-TOD05.5,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-SOC-TOD05.5
2968232000000088134,Boys Socks Toddler 6,BOY-SOC-TOD06,-15.00,0.00,0.00,-15.00,Cost of Goods Sold,BOY-SOC-TOD06
2968232000000088145,Boys Socks Toddler 6.5,BOY-SOC-TOD06.5,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-SOC-TOD06.5
2968232000000088156,Boys Socks Toddler 7,BOY-SOC-TOD07,-20.00,0.00,0.00,-20.00,Cost of Goods Sold,BOY-SOC-TOD07
2968232000000088178,Boys Socks Toddler 8,BOY-SOC-TOD08,-3.00,0.00,0.00,-3.00,Cost of Goods Sold,BOY-SOC-TOD08
2968232000000088200,Boys Socks Toddler 9,BOY-SOC-TOD09,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-SOC-TOD09
2968232000000088211,Boys Socks Toddler 9.5,BOY-SOC-TOD09.5,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-SOC-TOD09.5
2968232000000088222,Boys Socks Toddler 10,BOY-SOC-TOD10,-15.00,0.00,0.00,-15.00,Cost of Goods Sold,BOY-SOC-TOD10
2968232000000088244,Boys Socks Toddler 11,BOY-SOC-TOD11,-21.00,0.00,0.00,-21.00,Cost of Goods Sold,BOY-SOC-TOD11
2968232000000088266,Boys Socks Toddler 12,BOY-SOC-TOD12,-9.00,0.00,0.00,-9.00,Cost of Goods Sold,BOY-SOC-TOD12
2968232000000088288,Boys Socks Toddler 13,BOY-SOC-TOD13,-30.00,0.00,0.00,-30.00,Cost of Goods Sold,BOY-SOC-TOD13
2968232000000088321,Boys Socks Boys 1.5,BOY-SOC-1.5,-10.00,0.00,0.00,-10.00,Cost of Goods Sold,BOY-SOC-1.5
2968232000000088332,Boys Socks Boys 2,BOY-SOC-2,-29.00,0.00,0.00,-29.00,Cost of Goods Sold,BOY-SOC-2
2968232000000088354,Boys Socks Boys 3,BOY-SOC-3,-40.00,0.00,0.00,-40.00,Cost of Goods Sold,BOY-SOC-3
2968232000000088365,Boys Socks Boys 3.5,BOY-SOC-3.5,-10.00,0.00,0.00,-10.00,Cost of Goods Sold,BOY-SOC-3.5
2968232000000088376,Boys Socks Boys 4,BOY-SOC-4,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-SOC-4
2968232000000088387,Boys Socks Boys 4.5,BOY-SOC-4.5,-20.00,0.00,0.00,-20.00,Cost of Goods Sold,BOY-SOC-4.5
2968232000000088398,Boys Socks Boys 5,BOY-SOC-5,-15.00,0.00,0.00,-15.00,Cost of Goods Sold,BOY-SOC-5
2968232000000088409,Boys Socks Boys 5.5,BOY-SOC-5.5,-15.00,0.00,0.00,-15.00,Cost of Goods Sold,BOY-SOC-5.5
2968232000000088431,Boys Socks Boys 6.5,BOY-SOC-6.5,-5.00,0.00,0.00,-5.00,Cost of Goods Sold,BOY-SOC-6.5
2968232000000088442,Boys Socks Boys 7,BOY-SOC-7,-30.00,0.00,0.00,-30.00,Cost of Goods Sold,BOY-SOC-7
2968232000000088453,Boys Socks Boys 7.5,BOY-SOC-7.5,-11.00,0.00,0.00,-11.00,Cost of Goods Sold,BOY-SOC-7.5
2968232000000088464,Boys Underwear 24 months/2T,BOY-UND-02T,-18.00,0.00,0.00,-18.00,Cost of Goods Sold,BOY-UND-02T
2968232000000088475,Boys Underwear 3T,BOY-UND-03T,-25.00,0.00,1.00,-26.00,Cost of Goods Sold,BOY-UND-03T
2968232000000088486,Boys Underwear 4T,BOY-UND-04T,4.00,0.00,15.00,-11.00,Cost of Goods Sold,BOY-UND-04T
2968232000000088497,Boys Underwear 5/6,BOY-UND-05T,-40.00,0.00,5.00,-45.00,Cost of Goods Sold,BOY-UND-05T
2968232000000088508,Boys Underwear 6/8,BOY-UND-6/8,144.00,0.00,5.00,139.00,Cost of Goods Sold,BOY-UND-6/8
2968232000000088519,Boys Underwear 7 (Small),BOY-UND-07,6.00,0.00,0.00,6.00,Cost of Goods Sold,BOY-UND-07
2968232000000088530,Boys Underwear 8 (Small),BOY-UND-08,-51.00,0.00,26.00,-77.00,Cost of Goods Sold,BOY-UND-08
2968232000000088541,Boys Underwear 10-12 (Med),BOY-UND-10,-210.00,0.00,41.00,-251.00,Cost of Goods Sold,BOY-UND-10
2968232000000088552,Boys Underwear 12-14 (Med),BOY-UND-12,-65.00,0.00,10.00,-75.00,Cost of Goods Sold,BOY-UND-12
2968232000000088563,Boys Underwear 14-16 (Large),BOY-UND-14,14.00,0.00,36.00,-22.00,Cost of Goods Sold,BOY-UND-14
2968232000000088574,Boys Underwear 16 (Large),BOY-UND-16,-45.00,0.00,5.00,-50.00,Cost of Goods Sold,BOY-UND-16
2968232000000088585,Boys Underwear 18-20 (XL),BOY-UND-18,-76.00,0.00,15.00,-91.00,Cost of Goods Sold,BOY-UND-18
2968232000000088596,Boys Underwear 20 (XL),BOY-UND-20,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-UND-20
2968232000000088607,Boys Tops-Jacket 0-3 months,BOY-JKT-000M,5.00,0.00,0.00,5.00,Cost of Goods Sold,BOY-JKT-000M
2968232000000088618,Boys Tops-Jacket 3-6 months,BOY-JKT-003M,3.00,0.00,1.00,2.00,Cost of Goods Sold,BOY-JKT-003M
2968232000000088629,Boys Tops-Jacket 6-9 months,BOY-JKT-006M,-1.00,39.00,0.00,38.00,Cost of Goods Sold,BOY-JKT-006M
